,Current,Fully Paid,Charged Off,In Grace Period,Sum,Good Loans,Bad Loans,Good Rate
0.0-0.02,0,0,0,0,0.0,0,0.0,0.00 %
0.02-0.04,0,0,0,0,0.0,0,0.0,0.00 %
0.04-0.06,0,0,0,0,0.0,0,0.0,0.00 %
0.06-0.08,842,144,16,2,1014.0,986,28.0,97.24 %
0.08-0.1,639,58,5,1,710.0,697,13.0,98.17 %
0.1-0.12,1071,105,8,7,1207.0,1176,31.0,97.43 %
0.12-0.14,1403,187,49,5,1664.0,1590,74.0,95.55 %
0.14-0.16,1545,181,38,10,1810.0,1726,84.0,95.36 %
0.16-0.18,1008,109,31,7,1184.0,1117,67.0,94.34 %
0.18-0.2,772,82,35,7,921.0,854,67.0,92.73 %
0.2-0.22,417,39,20,5,496.0,456,40.0,91.94 %
0.22-0.24,297,33,14,3,365.0,330,35.0,90.41 %
0.24-0.26,123,13,2,1,147.0,136,11.0,92.52 %
0.26-0.28,5,0,0,0,6.0,5,1.0,83.32 %
0.28-0.3,0,0,0,0,0.0,0,0.0,0.00 %
