,Current,Fully Paid,Charged Off,Late (31-120 days),In Grace Period,Late (16-30 days),Default,Sum,Good Loans,Bad Loans,Good Rate
car,68,12,0,1,0,0,0,81.0,80,1.0,0.9876543209876543
credit_card,1957,180,30,30,7,6,4,2214.0,2137,77.0,0.9652213188798555
debt_consolidation,4829,556,142,87,32,9,10,5665.0,5385,280.0,0.9505736981465137
home_improvement,415,64,4,12,1,1,0,497.0,479,18.0,0.9637826961770624
house,39,12,2,1,0,1,0,55.0,51,4.0,0.9272727272727272
major_purchase,153,28,2,3,1,1,1,189.0,181,8.0,0.9576719576719577
medical,56,9,4,1,2,0,0,72.0,65,7.0,0.9027777777777778
moving,39,9,1,1,0,0,0,50.0,48,2.0,0.96
other,350,53,16,7,3,1,1,431.0,403,28.0,0.9350348027842227
renewable_energy,10,1,1,0,0,0,0,12.0,11,1.0,0.9166666666666666
small_business,111,18,10,5,1,2,0,147.0,129,18.0,0.8775510204081632
vacation,42,6,2,0,0,0,0,50.0,48,2.0,0.96
wedding,53,3,4,0,1,0,0,61.0,56,5.0,0.9180327868852459
